Вид	Дата перевода	Сумма перевода	Комиссия	Номер перевода	Банк-отправитель	Банк-получатель
TOTAL_INP	0	0.00	0.00			
OUT	18.06.2023	64712.00	407.00	915897091	TAWX	QSVR
OUT	18.06.2023	90000.00	407.00	430456441	TAWX	QSVR
OUT	18.06.2023	25112.00	407.00	719047214	TAWX	QSMM
OUT	18.06.2023	6278.00	407.00	968729062	TAWX	QSIR
OUT	18.06.2023	128458.00	407.00	805502465	TAWX	QSVR
OUT	18.06.2023	12000.00	407.00	224510247	TAWX	QSVR
OUT	18.06.2023	128458.00	407.00	597792041	TAWX	QSVR
OUT	18.06.2023	10000.00	407.00	332389371	TAWX	QSVR
OUT	19.06.2023	6300.00	407.00	427264153	TAWX	QSVR
OUT	19.06.2023	1000.00	407.00	438416825	TAWX	QSIR
OUT	19.06.2023	19156.00	407.00	546929103	TAWX	QSIR
OUT	19.06.2023	200000.00	407.00	613749986	TAWX	QSIR
OUT	19.06.2023	19156.00	407.00	776271000	TAWX	QSIR
OUT	19.06.2023	96261.00	407.00	702785188	TAWX	QSIR
OUT	19.06.2023	1062.00	407.00	549091370	TAWX	QSIR
OUT	19.06.2023	6278.00	407.00	508249885	TAWX	QSMM
OUT	19.06.2023	9497.00	407.00	677848835	TAWX	QSIR
OUT	19.06.2023	19150.00	407.00	298170100	TAWX	QSIR
OUT	19.06.2023	1000.00	407.00	898016932	TAWX	QSMM
OUT	19.06.2023	100000.00	407.00	697920246	TAWX	QSMM
OUT	19.06.2023	6270.00	407.00	996592571	TAWX	QSMM
OUT	19.06.2023	6248.00	407.00	722584519	TAWX	QSMM
OUT	19.06.2023	12665.00	407.00	288169700	TAWX	QSIR
OUT	19.06.2023	57051.00	407.00	619769460	TAWX	QSMM
OUT	19.06.2023	10096.00	407.00	139231711	TAWX	QSMM
OUT	19.06.2023	12657.00	407.00	899347628	TAWX	QSMM
OUT	19.06.2023	54155.00	407.00	376350047	TAWX	QSIR
OUT	19.06.2023	5097.00	407.00	259448020	TAWX	QSIR
OUT	19.06.2023	6000.00	407.00	868932255	TAWX	QSVR
OUT	19.06.2023	19120.00	407.00	903763206	TAWX	QSIR
OUT	19.06.2023	3053.00	407.00	505455239	TAWX	QSIR
OUT	19.06.2023	51035.00	407.00	860374756	TAWX	QSIR
OUT	19.06.2023	20000.00	407.00	625298309	TAWX	QSMM
OUT	19.06.2023	25349.00	407.00	143069308	TAWX	QSMM
OUT	19.06.2023	21000.00	407.00	919833214	TAWX	QSMM
OUT	19.06.2023	63853.00	407.00	440050083	TAWX	QSIR
OUT	19.06.2023	34333.00	407.00	315829433	TAWX	QSMM
OUT	19.06.2023	25000.00	407.00	674270091	TAWX	QSMM
OUT	19.06.2023	1444.00	407.00	978012217	TAWX	QSIR
OUT	19.06.2023	5000.00	407.00	803054518	TAWX	QSIR
OUT	19.06.2023	5000.00	407.00	265889254	TAWX	QSMM
OUT	19.06.2023	3047.00	407.00	341232066	TAWX	QSIR
OUT	19.06.2023	1200.00	407.00	951005980	TAWX	QSMM
OUT	19.06.2023	44593.00	407.00	752570586	TAWX	QSIR
OUT	19.06.2023	10000.00	407.00	552643270	TAWX	QSIR
OUT	19.06.2023	3046.00	407.00	676432882	TAWX	QSIR
OUT	19.06.2023	7215.00	407.00	440325964	TAWX	QSIR
OUT	19.06.2023	12000.00	407.00	392215070	TAWX	QSIR
OUT	19.06.2023	481.00	407.00	136033735	TAWX	QSIR
OUT	19.06.2023	2000.00	407.00	665577630	TAWX	QSVR
OUT	19.06.2023	6573.00	407.00	352138403	TAWX	QSMM
OUT	19.06.2023	1400.00	407.00	206945066	TAWX	QSMM
OUT	19.06.2023	44564.00	407.00	646020637	TAWX	QSMM
OUT	19.06.2023	9458.00	407.00	181039830	TAWX	QSVR
OUT	19.06.2023	25342.00	407.00	835691327	TAWX	QSMM
OUT	19.06.2023	5500.00	407.00	826661627	TAWX	QSIR
OUT	19.06.2023	5500.00	407.00	635534392	TAWX	QSIR
OUT	19.06.2023	900.00	407.00	786958497	TAWX	QSMM
OUT	19.06.2023	6250.00	407.00	178430234	TAWX	QSMM
OUT	19.06.2023	95822.00	407.00	953066643	TAWX	QSVR
OUT	19.06.2023	20350.00	407.00	811761218	TAWX	QSIR
OUT	19.06.2023	526.00	407.00	602925758	TAWX	QSIR
OUT	19.06.2023	63767.00	407.00	870118219	TAWX	QSVR
OUT	20.06.2023	50000.00	407.00	478022597	TAWX	QSIR
OUT	20.06.2023	75662.00	407.00	250503088	TAWX	QSIR
OUT	20.06.2023	417.00	407.00	612336708	TAWX	QSMM
OUT	20.06.2023	1122.00	407.00	854927783	TAWX	QSIR
TOTAL_OUT	67	1885039.00	27269.00			
TOTAL_CANCEL_INP	0	0.00	0.00			
TOTAL_CANCEL_OUT	0	0.00	0.00			
SALDO	0	-1912308.00	0			
